Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,2.1401321,2.5056316,3.14643,2.9350271,3.0940884,3.6374035,3.9656738,3.7550800000000004,3.433394,3.8207045,3.7008048000000002,3.2512233000000004,3.2838952,2.8341709,2.6438088,2.9233222,3.0247462,3.8485155,3.5180232,4.325697399999999,4.4610786,4.844508899999999,5.5484833,6.2702429,6.3849290000000005,5.924383300000001,5.4835887,5.9999415,6.658710800000001,5.5708288,4.6950222,8.1717206
Morocco,4.2980483,4.6555717,4.4938194000000005,4.3474105,3.9490929,4.1926594,3.4563344000000003,2.4207632,2.6851723,3.7261359,3.4917879999999997,3.4942075000000004,3.2494676,3.2579968,3.1097965000000003,3.0469537,3.1835014000000004,3.2886518,3.3907961,3.2974952,3.4627500999999996,3.8057829,3.3984585999999997,2.9599979,2.9821183,2.9458899,2.9028887,2.8657984,3.9796975999999997,3.755157,3.8145595999999995,3.6386852
Tunisia,1.7061259,1.732114,1.7421231999999998,1.7447076,1.8675351999999998,1.7263845,1.6779715,1.5560758,1.547904,1.5211125,1.4926428999999999,1.4838857,1.4259021,1.4516014000000002,1.4463624,1.2609939000000001,1.2906249,1.2949496,1.2361705,1.4862578,1.4398739,1.5597374000000002,1.8068875000000002,2.1395916,2.2249847,2.0318293,1.9764487000000002,2.3832778,2.7097784,2.6367003,2.4733636999999997,2.3578511
Angola,5.682830500000001,17.5225891,5.7092807,4.7073928,2.4478482,5.9722682,2.6420119,17.3346922,6.392603199999999,4.5243538,2.8699323999999997,3.7614791000000003,3.4711802,3.6922409000000003,3.7614953,3.1140545,3.5731204,4.7096100000000005,4.1775845,3.2556604000000005,3.2366595,4.4552394,4.6984545,3.1054263,2.7333349,2.5079827999999997,1.9557867999999998,1.7390723000000001,1.7369940000000001,1.3009998999999999,1.3168195,1.3325292
Botswana,4.4828090000000005,4.933491999999999,4.0081204,3.5064797000000003,2.8995215,3.1972045999999996,3.7793988,3.0920738,3.191243,3.8312230000000005,4.1102065,4.0073666,3.505874,2.8580042,2.7545461,2.9000147,3.0976204,3.2628207,2.7590798999999997,2.40443,2.3437721000000002,2.147171,2.2119971,2.8251945000000003,3.4106626,3.2485792,2.9247593999999997,3.0812223999999997,3.3347876999999997,3.0455693,2.3821254,2.5298225
Burkina Faso,2.0496516,1.8625299000000002,1.4228847,1.3830426999999998,1.2870885,1.417055,1.2763626000000001,1.3855314,1.2380464,1.155515,1.177935,1.0730553,1.2070058,1.2018948,1.1103218,1.4157265,1.2429126000000001,1.352765,1.224786,1.1509059,1.1760285000000001,1.2360902999999999,1.2723419999999999,1.2507809,1.1653334,1.3636297,1.9253846000000001,2.2125521,2.1320181000000002,2.3226567,2.9774865,4.0053269
Burundi,3.5956379,3.7202758000000005,3.9211112,4.2090729,5.8568849,6.359653,6.5722724999999995,6.2576437,4.8624022,6.0717372,5.4416789,5.5334354,4.9032668,4.43619,3.5117185,3.4145952,2.7208905,2.6724623,2.6240341,2.5756059,2.5271776999999997,2.4824131,2.2979456,2.1313199000000003,2.2431639,2.0027099,2.1494196,2.8078168,2.1859132999999997,2.0430098,2.5982983,3.6589275999999997
Cameroon,1.5326056,1.3261246,1.3103401000000001,1.2516448,1.2248379,1.3012417,1.3965094,1.4438524,1.3247489,1.29036,1.3385068,1.383807,1.4016038,1.1439006,1.2297939,1.241593,1.2555907,1.2338342,1.2883752,1.1358889,1.1753486,1.1650410999999998,1.1049796,1.0988985999999998,1.1464243,1.1383737999999999,1.0760098,1.0645784,0.9644073,0.978117,0.9425119,0.9333381999999999
Cabo Verde,0.9925925,0.7565805,0.8388786,1.2650809,0.8441753,0.8310075,0.8585404,0.8385432,1.1540259000000002,0.7536152,0.6654803,0.6487536,0.6309783999999999,0.6494972,0.5647412,0.4812598,0.5486013,0.4499085,0.45142589999999994,0.4769965,0.5060097,0.48366420000000004,0.4925962,0.510089,0.550048,0.47051849999999995,0.48589649999999995,0.43186500000000005,0.6188188,0.5614289,0.4572942,0.5282319
Chad,1.8771330999999998,2.6792179999999997,1.8775758999999999,1.3856172999999998,1.5446362999999999,1.0758651,0.9229573,1.3652238,1.362045,1.3540217,1.5244748000000001,1.3225227000000002,1.011625,0.8319780000000001,2.9956264999999997,4.4859488,5.885152300000001,7.955661699999999,5.7649307,5.0101002999999995,5.3012058,5.5923113,2.806514,2.0188227999999997,3.0364717,2.1972579,2.2950108,2.1354032,3.0051644,2.8096164,2.7481796,2.9084987
"Congo, Dem. Rep.",5.2260857000000005,5.2260857000000005,3.9996575000000005,2.7732293,1.5468011,1.4108511000000001,0.42845419999999995,1.1581507,0.2202608,0.4403891,0.6605173999999999,0.8806457,1.3366044000000001,1.3807955,1.4192054,1.2261243,0.8085425,0.6562397999999999,0.8517313000000001,0.9241091,1.1345503,1.146178,0.9502471,1.2956397,1.0661082,0.7704671,0.6239125,0.7007955,0.7433103,0.5429702,0.5788944,1.1643969
Ethiopia,3.4417083,3.0716884,2.8684387,2.2256161,2.1171385000000003,3.3431774999999995,7.2769361,9.5069427,7.6138439,4.3490208,3.7193880999999998,3.2388426999999997,3.0726504,2.8122184000000003,2.3071493,1.8962773,1.515848,1.2046016,1.1539425,1.0907065,0.8683615,0.8064172,0.7684078,0.7054147000000001,0.6835672,0.6753107,0.645851,0.5799495,0.5216242999999999,0.4920152,0.8698614,0.7883229
The Gambia,0.40965050000000003,0.2792198,0.2555575,0.3046157,0.39730750000000004,0.4075759,0.3848338,0.32583310000000004,0.3157936,0.2348621,0.2443808,0.22738860000000002,0.1926214,0.27702740000000003,0.2602424,0.3553184,1.0949176999999999,0.4822054,0.5855787,0.688952,0.7923253,0.7395111999999999,1.2076885000000002,1.0405221,0.9323068333333333,0.8240915666666667,0.7158763,0.769341,0.8093249,0.7685556,0.69394,0.5843058
Ghana,0.3773472,0.42195160000000004,0.4265867,0.33574770000000004,0.28690360000000004,0.28793820000000003,0.3347077,0.3336711,0.44363040000000004,0.26445280000000004,0.26030559999999997,0.3037583,0.2775709,0.2609671,0.2622135,0.3703329,0.2940335,0.3367579,0.28268770000000004,0.4351545,0.5932086,0.40029460000000006,0.4849891,0.39291509999999996,0.2914125,0.3127013,0.3258762,0.3438182,0.3509492,0.38274189999999997,0.3379464,0.3891575
Kenya,1.9007467999999998,1.8377416,1.6412528,1.6467162,1.4179547000000001,1.3406386,1.2201225,1.1869741,1.313742,1.5047549,1.6324078,1.6500998,1.6141942,1.690587,1.4551774,1.5479123,1.6158503000000002,1.3650757,1.3699853,1.379743,1.4895772999999999,1.3953965000000002,1.1994334,1.2031694000000002,1.2473098,1.237594,1.2073854,1.1125711999999999,1.1084342,1.0772003,1.0102052000000001,0.9058168
Lesotho,2.7064535000000003,2.4754727,2.7411224,3.2418894,2.8246737,2.7121773,2.8519284999999996,3.5624512,3.2849261,2.744178,2.516393,2.3690009,2.1316629,2.0492595999999996,2.074225,2.3681546,1.5479208,2.7226817,3.1625287,2.2555229999999997,2.1482398,2.0265319,1.9537961,1.8657529999999998,1.9638883999999999,2.2708144999999997,1.9993829,1.8754041999999997,1.8817992,1.5389791,1.5164389,1.5362628999999999
Madagascar,0.7699219,1.122324,0.9264735,0.859888,1.2376344,1.4819124,1.3489275,1.2102292000000001,1.2175139,1.4358476,1.3131616000000002,1.3247573000000001,1.2482267,1.0719414999999999,0.9774312000000001,0.9611814999999999,0.9628921,0.738133,0.5702147000000001,0.623191,0.592765,0.5785599,0.5563913,0.5204692000000001,0.501387,0.5062223,0.5321022,0.545343,0.6731539,0.6921322,0.6659162,0.6629611
Malawi,1.4024860000000001,1.2629754,1.4218800999999999,0.7905591999999999,0.8834681000000001,0.9915560999999999,0.8136397999999999,0.8110145,0.6726388,0.738822,0.42382289999999995,0.4087925,0.6318680999999999,1.0452616,0.7776515,0.7579520000000001,0.835637,0.9497046,0.718201,0.6597284999999999,0.7656307,0.80979,0.5807719,0.4508257,0.4520473,0.5301005,0.5895015,0.7607818,0.8342812,0.7591311,0.9697015999999999,1.0108779
