Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,6.9903715,7.0860788999999995,9.3683753,9.3543054,10.6039472,11.7514311,12.7172306,11.722226500000001,12.004985999999999,12.102194800000001,10.5088683,11.110287000000001,11.2576726,9.8130969,9.029652,8.3645124,7.6861518,8.7574506,9.0909796,10.5059041,10.2567292,13.218728599999999,13.4377416,13.565595799999999,15.203920400000001,14.6409022,13.5998711,14.358742099999999,15.6940456,15.0249561,12.6723192,19.3356802
Morocco,15.112961799999999,15.8109209,16.2982565,16.0039619,17.6139537,17.7801164,17.034282100000002,12.1356898,10.9042449,14.52659,12.4991349,13.397431000000001,12.2665486,10.512856399999999,11.060904200000001,10.652542500000001,10.4111189,10.8120336,10.9135286,9.756431899999999,9.8328483,11.5562154,11.0783072,10.417621500000001,10.444783000000001,10.592541299999999,10.4896483,10.4736105,11.6552059,12.0052668,11.835926500000001,11.122039000000001
Tunisia,6.329051400000001,6.1916462,6.4017895000000005,6.2582015,6.674141799999999,6.7090108,6.616899599999999,6.1788737000000005,6.1376802,6.045318,5.8983906,6.0264064,5.9053103,6.0065224,6.0339168,5.1545462,5.1974643,5.0290161,5.1508852,5.3294871,5.0790014,5.0644499000000005,6.5263024000000005,7.7959912000000005,8.1760056,7.0733372,6.8901574,8.070218899999999,7.8554812,7.9196979,7.046129499999999,7.045826099999999
Angola,6.0329204,6.0329204,6.0329204,6.0329204,6.0329204,13.875464200000001,6.2338677,27.375517300000002,12.8833216,10.7886307,9.191732499999999,10.934564700000001,11.647001399999999,13.9189387,12.2909147,8.1672639,6.784488399999999,10.464146300000001,10.6044766,8.7045359,8.698615199999999,12.0250824,12.887733100000002,11.4798434,12.3999737,10.4140837,9.5039127,8.5236229,7.4623644,6.6798166000000005,5.8412652000000005,5.5281562
Botswana,9.897272,10.1145459,10.2269781,9.0590524,7.7269721,8.0094997,8.5562514,7.5215806999999995,8.169209400000002,8.986358,9.0042966,9.1545834,8.4781108,8.226519999999999,8.0711354,7.5786568999999995,6.4559033,5.9818942,6.1658901,6.425209499999999,6.1137569,6.1676252,6.14716,7.1414786999999995,9.964904500000001,9.271059900000001,8.1491075,8.4595921,8.6628557,8.6605969,8.0946479,7.8265001000000005
Burkina Faso,11.2464676,9.4153258,7.9615948,7.0871449,6.4639262,6.9925505999999995,6.3420171,5.7581359,6.2441984,5.8775638,6.0510908,6.0974349,5.9584113,5.9449765,5.0750385,6.1988656,6.685714099999999,6.2863392000000005,5.6558626,5.6317314,5.1880692,4.893343,6.0797079,6.1436917,5.3871778,5.1953023,7.9494412,9.527545499999999,8.7878449,8.3685368,9.2120906,15.105100599999998
Burundi,11.8530519,13.8275987,20.1051872,16.3619957,20.6014093,29.119081,28.338990400000004,24.7561304,19.7292245,23.9026158,22.6086486,15.1734291,12.0166579,13.385276199999998,9.6280839,8.7631841,6.6100911,6.640378575,6.67066605,6.700953525000001,6.731241000000001,7.1396672,8.074710999999999,9.1994162,9.9367701,8.312272,8.2610486,9.759182299999999,7.423964700000001,6.7249395000000005,6.7037556,10.2296308
Cameroon,8.0089875,8.0089875,8.0089875,8.0089875,8.0089875,8.0089875,8.0089875,8.0089875,8.0089875,7.778555600000001,8.5001968,8.9864821,8.7748372,9.2051944,9.8351355,9.2226769,7.8908621,8.3926204,8.483797299999999,6.3648009000000005,6.8524613,6.0654237,5.5077836,5.4756354,5.6797605,5.9205655,5.9936228,5.7035808,5.8121625,5.770154000000001,5.499518500000001,5.6258862
Cabo Verde,1.5876603,1.5876603,1.5876603,2.4451507,1.7916220999999999,1.9345689999999998,2.3345278,2.0819099,2.7383435,2.426661,1.8269297,2.2340846,1.9457366999999999,1.9360606999999999,1.6936996999999998,1.7784694,1.9876310000000001,1.4689041999999999,1.2642132,1.5720524,1.6022702999999998,1.5669389999999999,1.7739263,1.7775062000000001,2.0641446,1.6814273000000002,1.7644114,1.5711615,1.787165,1.7752554999999999,1.7146164,1.7446456
Central African Republic,7.033569000000001,7.1762354,5.6062495,5.6391336,10.310862799999999,9.681361916666665,9.051861033333333,8.42236015,7.792859266666666,7.163358383333333,6.5338575,10.2933893,8.8314074,6.745184699999999,7.603031199999999,8.4608777,9.670632399999999,10.9256712,13.963186,14.4682159,11.745741299999999,21.150049600000003,11.265692099999999,11.2814286,12.1434076,9.690401399999999,7.6110809,10.5837589,7.403314,10.9230927,9.6965031,12.7199322
