Year,Algeria,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,"Egypt, Arab Rep.",Finland,France,Germany,Greece,India,Indonesia,Israel,Italy,Japan,"Korea, Rep.",Kuwait,Myanmar,Netherlands,Norway,Pakistan,Poland,Romania,Saudi Arabia,Singapore,South Asia,South Asia (IDA & IBRD),Spain,Sweden,Switzerland,Thailand,Turkiye,United Arab Emirates,United Kingdom,United States
1990,733000000.0,352000000.0,5000000.0,314000000.0,136000000.0,150000000.0,135000000.0,312000000.0,13000000.0,563000000.0,88000000.0,65000000.0,710000000.0,907000000.0,2832000000.0,202000000.0,81000000.0,153000000.0,2682000000.0,1214000000.0,326000000.0,278000000.0,273000000.0,435000000.0,635000000.0,227000000.0,596000000.0,2039000000.0,513000000.0,5364000000.0,5364000000.0,699000000.0,94000000.0,438000000.0,235000000.0,1241000000.0,561000000.0,120000000.0,363000000.0
1991,1035000000.0,213000000.0,6000000.0,125000000.0,160000000.0,752000000.0,104000000.0,483000000.0,72000000.0,887000000.0,65000000.0,948000000.0,688000000.0,487000000.0,1873000000.0,11000000.0,1210000000.0,202000000.0,2940000000.0,921000000.0,515000000.0,239000000.0,322000000.0,321000000.0,511000000.0,76000000.0,63000000.0,1038000000.0,370000000.0,3867000000.0,3867000000.0,109000000.0,55000000.0,474000000.0,572000000.0,1270000000.0,237000000.0,940000000.0,516000000.0
1992,23000000.0,364000000.0,5000000.0,48000000.0,91000000.0,407000000.0,170000000.0,1196000000.0,36000000.0,973000000.0,440000000.0,424000000.0,679000000.0,2146000000.0,1187000000.0,51000000.0,1335000000.0,184000000.0,2519000000.0,795000000.0,896000000.0,31000000.0,237000000.0,253000000.0,352000000.0,100000000.0,185000000.0,1153000000.0,111000000.0,1681000000.0,1681000000.0,207000000.0,60000000.0,386000000.0,426000000.0,1879000000.0,201000000.0,1134000000.0,541000000.0
1993,22000000.0,448000000.0,8000000.0,73000000.0,57000000.0,196000000.0,85000000.0,1243000000.0,68000000.0,1257000000.0,406000000.0,96000000.0,529000000.0,892000000.0,735000000.0,212000000.0,716000000.0,201000000.0,2130000000.0,1024000000.0,694000000.0,331000000.0,140000000.0,180000000.0,992000000.0,4000000.0,14000000.0,2358000000.0,170000000.0,1813000000.0,1813000000.0,299000000.0,46000000.0,102000000.0,183000000.0,2329000000.0,578000000.0,783000000.0,973000000.0
1994,197000000.0,262000000.0,38000000.0,47000000.0,306000000.0,473000000.0,82000000.0,320000000.0,42000000.0,2020000000.0,234000000.0,80000000.0,417000000.0,1227000000.0,872000000.0,471000000.0,761000000.0,195000000.0,1025000000.0,1029000000.0,36000000.0,97000000.0,205000000.0,93000000.0,862000000.0,74000000.0,29000000.0,981000000.0,179000000.0,1872000000.0,1872000000.0,853000000.0,307000000.0,118000000.0,610000000.0,1891000000.0,565000000.0,411000000.0,958000000.0
1995,311000000.0,64000000.0,22000000.0,16000000.0,241000000.0,405000000.0,331000000.0,716000000.0,35000000.0,1703000000.0,195000000.0,97000000.0,222000000.0,867000000.0,1396000000.0,283000000.0,366000000.0,327000000.0,1251000000.0,1965000000.0,635000000.0,224000000.0,82000000.0,77000000.0,368000000.0,250000000.0,2000000.0,983000000.0,302000000.0,1952000000.0,1952000000.0,355000000.0,106000000.0,93000000.0,530000000.0,1567000000.0,420000000.0,496000000.0,791000000.0
1996,83000000.0,597000000.0,9000000.0,3000000.0,536000000.0,419000000.0,164000000.0,1511000000.0,49000000.0,969000000.0,552000000.0,64000000.0,244000000.0,380000000.0,822000000.0,379000000.0,108000000.0,280000000.0,867000000.0,1984000000.0,1189000000.0,115000000.0,203000000.0,151000000.0,507000000.0,102000000.0,39000000.0,1724000000.0,165000000.0,1543000000.0,1543000000.0,424000000.0,98000000.0,187000000.0,734000000.0,1491000000.0,480000000.0,568000000.0,588000000.0
1997,37000000.0,35000000.0,190000000.0,50000000.0,465000000.0,351000000.0,284000000.0,949000000.0,193000000.0,1050000000.0,397000000.0,223000000.0,60000000.0,800000000.0,1665000000.0,103000000.0,59000000.0,519000000.0,839000000.0,1230000000.0,478000000.0,231000000.0,126000000.0,158000000.0,692000000.0,1000000.0,61000000.0,2790000000.0,619000000.0,2431000000.0,2431000000.0,211000000.0,196000000.0,379000000.0,937000000.0,1512000000.0,686000000.0,496000000.0,610000000.0
1998,98000000.0,542000000.0,247000000.0,55000000.0,232000000.0,115000000.0,88000000.0,382000000.0,160000000.0,482000000.0,560000000.0,171000000.0,543000000.0,1718000000.0,797000000.0,87000000.0,1289000000.0,56000000.0,1484000000.0,1417000000.0,46000000.0,156000000.0,269000000.0,152000000.0,699000000.0,3000000.0,170000000.0,2886000000.0,804000000.0,1588000000.0,1588000000.0,86000000.0,294000000.0,435000000.0,76000000.0,2627000000.0,753000000.0,752000000.0,261000000.0
1999,370000000.0,678000000.0,48000000.0,58000000.0,376000000.0,192000000.0,206000000.0,1730000000.0,44000000.0,520000000.0,768000000.0,105000000.0,129000000.0,837000000.0,1212000000.0,163000000.0,1191000000.0,25000000.0,1252000000.0,1636000000.0,198000000.0,141000000.0,278000000.0,150000000.0,867000000.0,25000000.0,142000000.0,1580000000.0,308000000.0,2325000000.0,2325000000.0,361000000.0,224000000.0,506000000.0,172000000.0,1734000000.0,435000000.0,132000000.0,220000000.0
2000,405000000.0,326000000.0,25000000.0,36000000.0,137000000.0,576000000.0,230000000.0,2491000000.0,60000000.0,834000000.0,472000000.0,98000000.0,113000000.0,713000000.0,987000000.0,146000000.0,354000000.0,278000000.0,488000000.0,1399000000.0,227000000.0,16000000.0,123000000.0,229000000.0,175000000.0,148000000.0,21000000.0,105000000.0,788000000.0,1655000000.0,1655000000.0,320000000.0,206000000.0,22000000.0,80000000.0,1182000000.0,244000000.0,937000000.0,327000000.0
2001,539000000.0,1217000000.0,15000000.0,30000000.0,631000000.0,538000000.0,60000000.0,2773000000.0,268000000.0,829000000.0,7000000.0,61000000.0,133000000.0,788000000.0,1169000000.0,24000000.0,116000000.0,241000000.0,423000000.0,774000000.0,67000000.0,153000000.0,164000000.0,99000000.0,412000000.0,33000000.0,24000000.0,60000000.0,248000000.0,2026000000.0,2026000000.0,144000000.0,165000000.0,67000000.0,116000000.0,506000000.0,183000000.0,1282000000.0,488000000.0
2002,252000000.0,641000000.0,81000000.0,48000000.0,223000000.0,436000000.0,74000000.0,2838000000.0,173000000.0,717000000.0,15000000.0,38000000.0,71000000.0,402000000.0,2001000000.0,63000000.0,350000000.0,245000000.0,433000000.0,520000000.0,23000000.0,156000000.0,247000000.0,90000000.0,566000000.0,256000000.0,21000000.0,560000000.0,234000000.0,2691000000.0,2691000000.0,271000000.0,74000000.0,62000000.0,152000000.0,893000000.0,221000000.0,720000000.0,497000000.0
2003,204000000.0,781000000.0,41000000.0,21000000.0,110000000.0,153000000.0,187000000.0,2334000000.0,145000000.0,631000000.0,242000000.0,55000000.0,63000000.0,2163000000.0,2738000000.0,354000000.0,189000000.0,580000000.0,457000000.0,754000000.0,43000000.0,100000000.0,128000000.0,9000000.0,645000000.0,347000000.0,17000000.0,160000000.0,85000000.0,3435000000.0,3435000000.0,249000000.0,66000000.0,117000000.0,131000000.0,331000000.0,676000000.0,769000000.0,592000000.0
2004,251000000.0,471000000.0,56000000.0,15000000.0,85000000.0,353000000.0,68000000.0,3236000000.0,18000000.0,648000000.0,67000000.0,93000000.0,237000000.0,1098000000.0,2212000000.0,78000000.0,846000000.0,452000000.0,390000000.0,1055000000.0,2000000.0,192000000.0,130000000.0,6000000.0,471000000.0,223000000.0,285000000.0,1159000000.0,380000000.0,2799000000.0,2799000000.0,300000000.0,47000000.0,203000000.0,120000000.0,257000000.0,1145000000.0,215000000.0,575000000.0
2005,159000000.0,468000000.0,26000000.0,3000000.0,223000000.0,118000000.0,446000000.0,3478000000.0,18000000.0,809000000.0,93000000.0,2000000.0,199000000.0,406000000.0,1194000000.0,33000000.0,1107000000.0,143000000.0,374000000.0,802000000.0,12000000.0,157000000.0,86000000.0,14000000.0,431000000.0,103000000.0,436000000.0,166000000.0,544000000.0,1732000000.0,1732000000.0,358000000.0,78000000.0,168000000.0,115000000.0,1094000000.0,2072000000.0,31000000.0,535000000.0
2006,340000000.0,741000000.0,5000000.0,15000000.0,178000000.0,113000000.0,1093000000.0,2842000000.0,54000000.0,695000000.0,132000000.0,68000000.0,406000000.0,719000000.0,1479000000.0,62000000.0,1125000000.0,384000000.0,463000000.0,1659000000.0,5000000.0,177000000.0,304000000.0,557000000.0,324000000.0,439000000.0,60000000.0,205000000.0,76000000.0,2138000000.0,2138000000.0,312000000.0,120000000.0,83000000.0,99000000.0,529000000.0,1925000000.0,375000000.0,651000000.0
2007,507000000.0,675000000.0,269000000.0,171000000.0,188000000.0,481000000.0,655000000.0,1700000000.0,229000000.0,660000000.0,141000000.0,75000000.0,46000000.0,1665000000.0,2276000000.0,578000000.0,840000000.0,467000000.0,553000000.0,1730000000.0,288000000.0,153000000.0,217000000.0,596000000.0,694000000.0,966000000.0,97000000.0,227000000.0,397000000.0,3181000000.0,3181000000.0,343000000.0,51000000.0,108000000.0,8000000.0,701000000.0,821000000.0,837000000.0,834000000.0
2008,1510000000.0,430000000.0,190000000.0,191000000.0,178000000.0,423000000.0,391000000.0,1822000000.0,110000000.0,326000000.0,135000000.0,4000000.0,278000000.0,482000000.0,1624000000.0,249000000.0,680000000.0,159000000.0,990000000.0,1691000000.0,5000000.0,80000000.0,140000000.0,603000000.0,1073000000.0,646000000.0,76000000.0,387000000.0,1115000000.0,2937000000.0,2937000000.0,347000000.0,51000000.0,17000000.0,16000000.0,649000000.0,730000000.0,570000000.0,985000000.0
2009,1063000000.0,807000000.0,286000000.0,86000000.0,135000000.0,104000000.0,329000000.0,1386000000.0,263000000.0,95000000.0,42000000.0,74000000.0,331000000.0,1228000000.0,1937000000.0,445000000.0,157000000.0,94000000.0,990000000.0,798000000.0,9000000.0,63000000.0,256000000.0,571000000.0,1194000000.0,195000000.0,56000000.0,827000000.0,1415000000.0,3478000000.0,3478000000.0,228000000.0,17000000.0,39000000.0,63000000.0,731000000.0,604000000.0,399000000.0,989000000.0
