Year,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Ireland,Italy,Japan,"Korea, Rep.",Luxembourg,Netherlands,New Zealand,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom,United States
1990,1978008443.0,286945011.0,1518291413.0,4307232561.0,1993294493.0,1081730898.0,10758362362.0,10010752141.0,108742734.0,5074657765.0,11069505572.0,92647584.0,62029531.0,4439558616.0,209759769.0,2439662975.0,309608334.0,1528002523.0,2551080623.0,1397211470.0,4211441320.0,21289821229.0
1991,2132899076.0,497454280.0,1409570144.0,4327131155.0,2056206120.0,1238762865.0,11205049391.0,10868209981.0,138845786.0,4815105787.0,12102199331.0,82619880.0,102029617.0,4383693422.0,226238423.0,2416958698.0,411307331.0,1904618969.0,2538608760.0,1574669161.0,4806226495.0,20354827184.0
1992,2171569364.0,314115290.0,1342647728.0,4345304496.0,2215261895.0,942888915.0,11546905955.0,10696455011.0,124086690.0,5641903154.0,11425803078.0,108961003.0,83663035.0,4400306275.0,232212600.0,2520255115.0,491757081.0,2116075719.0,2813009641.0,1995893729.0,4727116760.0,20691196222.0
1993,2180541400.0,326666077.0,1292274670.0,4368323165.0,2276559050.0,651810124.0,11630596170.0,9994303617.0,158120932.0,5115439441.0,10081015190.0,153238249.0,111913039.0,4196612858.0,227399953.0,2240954352.0,438584144.0,2159770926.0,2645819273.0,1427660467.0,4823119925.0,17474346992.0
1994,2291776187.0,490906445.0,1100651697.0,4273299623.0,2373396114.0,477258038.0,12087645956.0,9425496707.0,204509678.0,4505132523.0,10881577487.0,178497991.0,125480991.0,4014480484.0,231322560.0,2502173559.0,544530275.0,2190376568.0,2628159450.0,1616582182.0,5088827010.0,16777733164.0
1995,2403312327.0,816156218.0,1362426436.0,3857891774.0,2316857370.0,512708813.0,10716309541.0,9005172698.0,260629850.0,2602069982.0,11023420921.0,132318909.0,119019132.0,4447333531.0,228857012.0,2386921779.0,403840146.0,2007904366.0,2193243413.0,1530697241.0,4804429772.0,12195324637.0
1996,2005268819.0,720298307.0,1257744013.0,3273270356.0,2566830369.0,567181611.0,9564262914.0,9496840584.0,296643882.0,3508634576.0,8340452181.0,181846593.0,151362566.0,4644249504.0,211299439.0,2458025186.0,343286624.0,1830477346.0,2394526957.0,1512056901.0,4630416369.0,15243573099.0
1997,2060968496.0,770513597.0,1205115613.0,3742460661.0,2646218825.0,582285700.0,9155287768.0,8409957356.0,314770094.0,1978109577.0,9149639469.0,240953311.0,195476503.0,4756935148.0,277185092.0,2608881362.0,431392847.0,2038570197.0,2326337080.0,1581095370.0,4727527595.0,10991573005.0
1998,2193288164.0,721982370.0,1388598384.0,3352098833.0,2760195732.0,608807114.0,8344476689.0,8075541625.0,332703616.0,3545732788.0,11257366748.0,334509625.0,239559377.0,4888835404.0,285817966.0,2835752407.0,441084659.0,2259956059.0,2182576056.0,1561200143.0,5179793818.0,13884397353.0
1999,2155342248.0,805839827.0,1239414638.0,3293270030.0,2877309495.0,661770349.0,8535696016.0,8298440342.0,413349376.0,2896649735.0,11337693227.0,498664526.0,253185046.0,5181179347.0,296742342.0,2847630847.0,475753254.0,2283288262.0,2329276107.0,1772766845.0,4637669899.0,14251331519.0
