Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United Arab Emirates,132524071337.561,134195452926.099,143449770711.842,153043528503.787,161917610688.198,175179308486.77,175690822156.071,180789745160.268,200410321454.247,203214232274.451,208159362850.444,226478512535.33,248144435934.961,260192198668.463,285788137266.095,294888746625.5,304301112606.226,288346842919.734,292968610431.171,311179896130.516,316857313553.72,332876224059.313,346742821770.78,370275469560.166,390868305567.669,393741456191.578,398914879841.349,403336245487.99,383342656303.629,400036290943.156,430077804411.91,445641058027.777
Albania,3527709061.94659,3864937294.2247,4185837881.82175,4743489156.74337,5175146643.27572,4610021453.80966,5017059783.31958,5663799108.52767,6057218861.96683,6559562958.94637,6857139117.39279,7236245479.6585,7635300387.08491,8057259479.00459,8532852033.68952,9043394715.19952,9721653065.53613,10047745438.9452,10420209148.0929,10685445792.0183,10836884503.1437,10945471986.7318,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218
Algeria,92026450045.6451,90093893897.4104,89283051958.1101,92675803281.1129,96475509798.0632,97536740346.8813,102511117624.641,105791474981.503,109811551032.207,113105897562.183,119213616030.541,126962501072.526,132675813620.79,139840307556.312,143895676475.446,148356442446.184,152065353507.339,153890137749.427,161276864361.4,166115170292.241,170101934379.255,174524584673.116,181680092644.714,187493855609.345,194806115978.109,197728207717.781,200496402625.83,202300870249.462,192185826736.989,199488888152.994,206670488126.502,215143978139.689
Andorra,1695348938.06262,1677861678.41049,1717848180.07992,1765217871.35903,1847295889.29006,2014802622.35064,2079171403.40932,2164398280.15413,2240766094.41807,2422701909.33042,2532846713.48552,2753057566.57311,2977037419.5986,3137731825.90577,3288615581.62834,3339693968.84633,3154034156.98041,2986780565.70671,2927792903.99219,2927556638.32444,2781926981.02275,2683235436.38042,2750436142.73572,2789881258.50362,2893376871.7235,2903390035.7376,2949518094.67896,3008967036.98289,2672445970.88657,2893905656.78942,3170696511.92972,3252613194.16191
Angola,26315491127.1309,20004137038.1834,20272065135.4562,23312874911.6258,26470456890.2009,28395991341.425,29728088881.4462,30376604083.8731,31304495193.7788,32621161809.6533,37079068252.7358,38187732393.4926,42369289092.8509,48737393239.5031,54366562157.632,61983317520.5949,68906854084.0594,69499453030.6657,72556300249.883,75075493556.7676,81488522604.1031,85525963563.9192,89650503847.7041,90496420506.5957,88161567931.4379,88031782694.3787,86872966032.8735,86262880684.9456,81399194250.7301,82375341952.5616,84883445838.1604,85733374749.9794
Antigua and Barbuda,858115307.90483,903426095.155429,963738105.684428,921725174.48967,982603889.773275,1036364062.10708,1085396819.93955,1125640169.83605,1195469164.08273,1141098413.07784,1152820061.09893,1222875737.24746,1293395745.6788,1377129115.29174,1552134855.83376,1696721347.61236,1696483697.23139,1493533928.0477,1376434444.94739,1349473923.26693,1394989455.46113,1386609537.41236,1417273748.87615,1437755555.55556,1496700162.35408,1533568876.84089,1640200774.69966,1691054300.06629,1371776497.48049,1484148566.07947,1625386015.56633,1688158621.57823
Argentina,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,598603016935.287,588959512629.692
Armenia,3001096397.25066,2736999950.50702,2884798023.90046,3083849041.96219,3264729146.7809,3373153403.74995,3619393601.80914,3738833590.68989,3959424772.65728,4339529550.80371,4912347451.42022,5600076094.6952,6188084084.57212,7048227772.27278,7978593838.17516,9071661194.12856,9697605816.5624,8330243396.35924,8513508751.09706,8913643662.28574,9555426006.05632,9870755064.25618,10226102246.6276,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894
Aruba,1908830345.97587,2048321812.23325,2216364111.87433,2272818090.43191,2299768906.23206,2461830746.1686,2510870031.79451,2541955653.38816,2735726915.78639,2850135060.01,2823202609.54275,2854554404.37331,3062757840.26596,3051023261.17582,3085420847.19517,3180746293.72871,3239137008.32128,2860878965.88948,2782678075.47099,2876433099.90676,2846495187.52904,3029567030.34403,2981500673.04632,2962907262.56983,3013858155.98809,3226290954.32065,3303627899.75438,3229876376.13191,2383266968.91162,2958411905.44105,3210407008.76028,3347289755.67821
Australia,629746209994.416,655230327244.458,681311039099.666,707786283507.272,735134359250.411,763901984857.931,799524373774.542,839721933537.843,872651653770.258,890323770708.066,925754967998.798,954367849882.364,994683066030.821,1026057036344.3,1054328458936.16,1094111663603.91,1133349428616.57,1154798699180.01,1180435002406.5,1208849019421.68,1256196122893.84,1288884775424.06,1322334997273.41,1351296372254.31,1388583854795.63,1420237898460.73,1461119016244.31,1492847874023.89,1491062566266.52,1522541404227.63,1587133480804.53,1641762491418.85
