Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United Arab Emirates,ARE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,127141173333.666,128234691613.625,132524071337.561,134195452926.099,143449770711.842,153043528503.787,161917610688.198,175179308486.77,175690822156.071,180789745160.268,200410321454.247,203214232274.451,208159362850.444,226478512535.33,248144435934.961,260192198668.463,285788137266.095,294888746625.5,304301112606.226,288346842919.734,292968610431.171,311179896130.516,316857313553.72,332876224059.313,346742821770.78,370275469560.166,390868305567.669,393741456191.578,398914879841.349,403336245487.99,383342656303.629,400036290943.156,430077804411.91,445641058027.777,..
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,6206547590.07403,5621147630.73068,7228795918.92525,7867263256.28817,7978515641.58304,8874480195.58321,9349921885.77888,10642671963.1135,11060395115.6809,13426272073.2398,15354612541.5059,15420077665.5323,17386490239.3536,18360263162.7578,18860496494.0404,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15740683549.2312,..
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,399493845643.486,399103504456.785,389737439405.34,387402501872.876,394875369504.144,411789546698.154,434240273307.563,450925028921.906,458826475384.177,470985014904.524,486126929267.789,503169209698.708,522471173018.118,537916681418.981,567800087822.488,602795765120.071,642446909327.171,685150490273.657,715079142760.18,721307367420.697,759043541900.591,789898216824.135,803696721168.009,838588875517.923,872072576697.475,898277807343.005,917992857347,942636770833.106,967773422990.44,989009454513.18,960681330778.443,1004645882051.53,1040349774688.04,1064487323079.33,..
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,261338873733.521,263994746904.169,270256324506.739,266725339390.886,265844227917.502,270836441550.617,283400368462.986,295896431520.044,306558488961.48,311259954479.919,323300981738.909,340022289698.95,373938839287.057,394677265173.151,426202276015.904,451024228913.614,475249397511.496,501534313377.177,533023793380.615,566454396917.441,605933572285.317,635339697254.865,668175443165.864,709335243186.094,751328052455.902,771766914345.161,773007777373.463,790708189694.781,813201903750.811,839491928524.291,831063479599.043,864618743927.334,897385026208.953,927489896195.979,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5279160805.75993,3800882718.68776,3527709061.94659,3864937294.2247,4185837881.82175,4743489156.74337,5175146643.27572,4610021453.80966,5017059783.31958,5663799108.52767,6057218861.96683,6559562958.94637,6857139117.39279,7236245479.6585,7635300387.08491,8057259479.00459,8532852033.68952,9043394715.19952,9721653065.53613,10047745438.9452,10420209148.0929,10685445792.0183,10836884503.1437,10945471986.7318,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,91497228539.4122,90399261261.5479,92026450045.6451,90093893897.4104,89283051958.1101,92675803281.1129,96475509798.0632,97536740346.8813,102511117624.641,105791474981.503,109811551032.207,113105897562.183,119213616030.541,126962501072.526,132675813620.79,139840307556.312,143895676475.446,148356442446.184,152065353507.339,153890137749.427,161276864361.4,166115170292.241,170101934379.255,174524584673.116,181680092644.714,187493855609.345,194806115978.109,197728207717.781,200496402625.83,202300870249.462,192185826736.989,199488888152.994,206670488126.502,215143978139.689,..
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,656560305.343511,651422900.763359,662725190.839695,..,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1638036096.1623,1679740553.0064,1695348938.06262,1677861678.41049,1717848180.07992,1765217871.35903,1847295889.29006,2014802622.35064,2079171403.40932,2164398280.15413,2240766094.41807,2422701909.33042,2532846713.48552,2753057566.57311,2977037419.5986,3137731825.90577,3288615581.62834,3339693968.84633,3154034156.98041,2986780565.70671,2927792903.99219,2927556638.32444,2781926981.02275,2683235436.38042,2750436142.73572,2789881258.50362,2893376871.7235,2903390035.7376,2949518094.67896,3008967036.98289,2672445970.88657,2893905656.78942,3170696511.92972,3252613194.16191,..
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,27672785864.6311,27947122601.4351,26315491127.1309,20004137038.1834,20272065135.4562,23312874911.6258,26470456890.2009,28395991341.425,29728088881.4462,30376604083.8731,31304495193.7788,32621161809.6533,37079068252.7358,38187732393.4926,42369289092.8509,48737393239.5031,54366562157.632,61983317520.5949,68906854084.0594,69499453030.6657,72556300249.883,75075493556.7676,81488522604.1031,85525963563.9192,89650503847.7041,90496420506.5957,88161567931.4379,88031782694.3787,86872966032.8735,86262880684.9456,81399194250.7301,82375341952.5616,84883445838.1604,85733374749.9794,..
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,830215153.179637,848287550.612035,858115307.90483,903426095.155429,963738105.684428,921725174.48967,982603889.773275,1036364062.10708,1085396819.93955,1125640169.83605,1195469164.08273,1141098413.07784,1152820061.09893,1222875737.24746,1293395745.6788,1377129115.29174,1552134855.83376,1696721347.61236,1696483697.23139,1493533928.0477,1376434444.94739,1349473923.26693,1394989455.46113,1386609537.41236,1417273748.87615,1437755555.55556,1496700162.35408,1533568876.84089,1640200774.69966,1691054300.06629,1371776497.48049,1484148566.07947,1625386015.56633,1688158621.57823,..
